repo,name,category,summary,install,best_for,avoid_if,stars,license,last_pushed_at,archived,official,verified_at,status
nobe4/gh-not,not,Notifications,Manage GitHub notifications with rules.,gh extension install nobe4/gh-not,Users who need filtering and rule-based notification handling.,You only need to view notifications occasionally.,31,MIT,2026-06-08T00:28:31Z,false,false,2026-06-08,active
github/gh-stack,stack,PR & Issues,Manage stacked pull requests on GitHub.,gh extension install github/gh-stack,Teams that split large changes into dependent PRs.,Your team avoids stacked changes.,457,MIT,2026-06-04T16:38:41Z,false,true,2026-06-08,active
agynio/gh-pr-review,pr-review,PR & Issues,"View, navigate, reply to, and resolve PR review threads.",gh extension install agynio/gh-pr-review,Reviewers who want inline PR review workflows in the terminal.,Your team reviews exclusively in the GitHub web UI.,159,MIT,2026-04-13T13:28:48Z,false,false,2026-06-08,active
valeriobelli/gh-milestone,milestone,PR & Issues,Manage GitHub milestones from the terminal.,gh extension install valeriobelli/gh-milestone,Maintainers who use milestones for release planning.,Your project does not use GitHub milestones.,79,MIT,2026-02-15T11:10:07Z,false,false,2026-06-08,active
InditexTech/gh-sherpa,sherpa,PR & Issues,Create branches and pull requests from Jira or GitHub issues.,gh extension install InditexTech/gh-sherpa,Teams that connect issue tracking to branch and PR creation.,You do not use structured issue-based workflows.,76,Apache-2.0,2026-05-28T08:25:01Z,false,false,2026-06-08,active
hectcastro/gh-metrics,metrics,PR & Issues,Summarize pull request metrics.,gh extension install hectcastro/gh-metrics,Maintainers who track review and merge health.,You only need individual PR details.,62,Apache-2.0,2026-06-04T23:02:26Z,false,false,2026-06-08,active
kawarimidoll/gh-prism,prism,PR & Issues,Review pull requests from GitHub CLI.,gh extension install kawarimidoll/gh-prism,Developers who want a focused PR review helper.,You need full project management features.,44,MIT,2026-04-07T02:43:35Z,false,false,2026-06-08,active
einride/gh-dependabot,dependabot,PR & Issues,Review Dependabot pull requests from GitHub CLI.,gh extension install einride/gh-dependabot,Teams that process many dependency update pull requests.,You do not use Dependabot.,43,MIT,2026-04-16T09:16:50Z,false,false,2026-06-08,active
jackchuka/gh-dep,dep,PR & Issues,Bulk manage dependency pull requests in a TUI.,gh extension install jackchuka/gh-dep,Teams with many Dependabot or Renovate pull requests.,You rarely receive dependency update PRs.,29,MIT,2026-06-08T09:07:32Z,false,false,2026-06-08,active
gennaro-tedesco/gh-i,i,PR & Issues,Interactively search GitHub issues.,gh extension install gennaro-tedesco/gh-i,Maintainers searching issues without opening the browser.,You need project-management features beyond search.,72,Apache-2.0,2025-03-01T01:29:30Z,false,false,2026-06-08,watch
KOBA789/gh-sql,sql,PR & Issues,Query GitHub Projects data with SQL.,gh extension install KOBA789/gh-sql,Advanced users exploring GitHub Projects data.,You want a beginner-friendly project dashboard.,134,NOASSERTION,2023-06-19T05:59:30Z,false,false,2026-06-08,stale
samcoe/gh-triage,triage,PR & Issues,Triage GitHub issues from the terminal.,gh extension install samcoe/gh-triage,Maintainers processing issue queues.,You need an actively maintained triage tool.,34,MIT,2022-03-28T07:41:27Z,false,false,2026-06-08,stale
seachicken/gh-poi,poi,Repo & Branch,Safely clean up local branches.,gh extension install seachicken/gh-poi,Developers who want a trustworthy branch cleanup default.,You want to manually inspect every branch before deletion.,966,MIT,2026-06-05T06:23:08Z,false,false,2026-06-08,active
redraw/gh-install,install,Repo & Branch,Install GitHub release binaries interactively.,gh extension install redraw/gh-install,Developers who often install tools from GitHub releases.,You already use a package manager for all release binaries.,222,NOASSERTION,2025-12-09T11:53:19Z,false,false,2026-06-08,active
johnmanjiro13/gh-bump,bump,Repo & Branch,Bump repository versions from the CLI.,gh extension install johnmanjiro13/gh-bump,Projects with manual version bump workflows.,Your release tool already handles versioning.,62,MIT,2026-06-07T06:07:32Z,false,false,2026-06-08,active
HaywardMorihara/gh-tidy,tidy,Repo & Branch,Clean up a Git workspace before starting new work.,gh extension install HaywardMorihara/gh-tidy,Developers who regularly switch tasks and branches.,You prefer to manage cleanup manually.,61,Unlicense,2026-04-30T20:55:05Z,false,false,2026-06-08,active
despreston/gh-worktree,worktree,Repo & Branch,Improve Git worktree workflows with GitHub context.,gh extension install despreston/gh-worktree,Developers who keep multiple branches checked out at once.,You do not use Git worktrees.,44,MIT,2025-10-23T19:11:10Z,false,false,2026-06-08,active
mislav/gh-branch,branch,Repo & Branch,"Fuzzy find, switch between, and delete branches.",gh extension install mislav/gh-branch,Developers with many local branches.,You want only automated cleanup rather than manual selection.,274,Unlicense,2024-07-16T05:36:27Z,false,false,2026-06-08,watch
chelnak/gh-changelog,changelog,Repo & Branch,Create changelogs that follow Keep a Changelog.,gh extension install chelnak/gh-changelog,Projects that want consistent changelog generation.,Your releases are already generated by a release automation tool.,128,MIT,2024-11-27T21:44:20Z,false,false,2026-06-08,watch
davidraviv/gh-clean-branches,clean-branches,Repo & Branch,Delete local branches with no upstream and no unpushed commits.,gh extension install davidraviv/gh-clean-branches,Developers cleaning long-lived local Git workspaces.,You need a highly maintained branch cleanup tool.,185,MIT,2022-12-26T16:02:05Z,false,false,2026-06-08,stale
matt-bartel/gh-clone-org,clone-org,Repo & Branch,Clone all repositories in an organization with optional filtering.,gh extension install matt-bartel/gh-clone-org,"Migration, audit, or offline analysis of organization repositories.",You only clone one repository at a time.,146,NOASSERTION,2024-05-31T20:06:44Z,false,false,2026-06-08,stale
mislav/gh-cp,cp,Repo & Branch,Copy a file from a GitHub repository without cloning.,gh extension install mislav/gh-cp,Grabbing a single file from a remote repository.,You need whole directory download support.,109,Unlicense,2021-11-08T18:00:37Z,false,false,2026-06-08,stale
yuler/gh-download,download,Repo & Branch,Download folders or files without cloning a repository.,gh extension install yuler/gh-download,Fetching a subset of a repository.,You need a freshly maintained downloader.,85,NOASSERTION,2023-04-03T02:51:38Z,false,false,2026-06-08,stale
gennaro-tedesco/gh-s,s,Search,Interactively search GitHub repositories.,gh extension install gennaro-tedesco/gh-s,Finding repositories quickly from a terminal workflow.,You need advanced code search rather than repository search.,404,Apache-2.0,2025-08-20T11:48:41Z,false,false,2026-06-08,active
gennaro-tedesco/gh-f,f,Search,A compact fzf-powered GitHub extension.,gh extension install gennaro-tedesco/gh-f,Users who want fast fuzzy GitHub navigation.,You do not use fzf-style terminal pickers.,386,Unlicense,2025-09-23T10:24:09Z,false,false,2026-06-08,active
k1LoW/gh-grep,grep,Search,Print matching lines from repositories through the GitHub API.,gh extension install k1LoW/gh-grep,Searching repository content without cloning.,You need local ripgrep speed across checked-out code.,229,MIT,2025-10-22T12:00:08Z,false,false,2026-06-08,active
LangLangBart/gh-find-code,find-code,Search,Search GitHub code with fzf.,gh extension install LangLangBart/gh-find-code,Developers who want interactive code search from the terminal.,You need local search inside a checked-out repository.,68,Unlicense,2026-06-02T04:58:25Z,false,false,2026-06-08,active
kawarimidoll/gh-q,q,Search,Clone GitHub repositories using fzf and ghq.,gh extension install kawarimidoll/gh-q,Users who organize local repositories with ghq.,You do not use ghq.,49,MIT,2026-01-02T08:40:19Z,false,false,2026-06-08,active
benelan/gh-fzf,fzf,Search,Wrap GitHub CLI workflows with fzf.,gh extension install benelan/gh-fzf,Users who prefer fuzzy selection over typing exact identifiers.,You do not use fzf.,36,MIT,2026-02-22T08:37:37Z,false,false,2026-06-08,active
Link-/gh-stars,stars,Search,Search starred repositories from GitHub CLI.,gh extension install Link-/gh-stars,Users who treat GitHub stars as a personal knowledge base.,You do not rely on GitHub stars for bookmarking.,32,MIT,2025-10-29T21:27:05Z,false,false,2026-06-08,active
korosuke613/gh-user-stars,user-stars,Search,Interactively browse and search starred repositories.,gh extension install korosuke613/gh-user-stars,Users with large personal star collections.,You need a freshly maintained star search tool.,184,MIT,2021-11-15T08:49:08Z,false,false,2026-06-08,stale
samcoe/gh-repo-explore,repo-explore,Search,Interactively explore a repository without cloning it.,gh extension install samcoe/gh-repo-explore,Inspecting unfamiliar repositories quickly.,You need local editing or build execution.,63,MIT,2023-12-11T12:03:05Z,false,false,2026-06-08,stale
github/gh-gei,gei,Security/Admin,Support GitHub Enterprise Importer migration workflows.,gh extension install github/gh-gei,Enterprise teams migrating repositories to GitHub Enterprise Cloud.,You are not running GitHub migration projects.,455,MIT,2026-06-03T21:11:14Z,false,true,2026-06-08,active
Link-/gh-token,token,Security/Admin,Create installation access tokens for GitHub Apps.,gh extension install Link-/gh-token,Developers working with GitHub App authentication.,You only use personal access tokens or browser flows.,394,NOASSERTION,2026-03-25T12:34:40Z,false,false,2026-06-08,active
mona-actions/gh-repo-stats,repo-stats,Security/Admin,Collect repository metadata used in GitHub migration work.,gh extension install mona-actions/gh-repo-stats,Migration specialists gathering repository inventory data.,You do not work on repository migration or audit projects.,389,MIT,2026-03-13T20:17:48Z,false,false,2026-06-08,active
babarot/gh-infra,infra,Security/Admin,Manage GitHub infrastructure declaratively with YAML.,gh extension install babarot/gh-infra,Teams that want repository and organization settings as code.,You only manage one or two repositories manually.,120,MIT,2026-05-20T05:58:25Z,false,false,2026-06-08,active
github/gh-classroom,classroom,Security/Admin,Manage GitHub Classroom workflows from the terminal.,gh extension install github/gh-classroom,Educators using GitHub Classroom at scale.,You do not use GitHub Classroom.,117,MIT,2026-05-19T19:50:20Z,false,true,2026-06-08,active
twelvelabs/gh-repo-config,repo-config,Security/Admin,Manage repository settings from GitHub CLI.,gh extension install twelvelabs/gh-repo-config,Teams standardizing repository configuration.,You only manage settings through the GitHub web UI.,42,MIT,2026-04-20T07:14:34Z,false,false,2026-06-08,active
cli/gh-webhook,webhook,Security/Admin,Work with GitHub webhooks from GitHub CLI.,gh extension install cli/gh-webhook,Developers testing webhook-driven integrations.,You do not build GitHub integrations.,40,MIT,2025-10-21T16:21:44Z,false,true,2026-06-08,active
advanced-security/gh-code-scanning,code-scanning,Security/Admin,Inspect GitHub code scanning data from the terminal.,gh extension install advanced-security/gh-code-scanning,Security teams that need quick access to code scanning findings.,You do not use GitHub code scanning.,29,NOASSERTION,2025-12-15T11:53:05Z,false,true,2026-06-08,active
advanced-security/gh-sbom,sbom,Security/Admin,Generate software bills of materials with GitHub CLI.,gh extension install advanced-security/gh-sbom,Teams that need SBOM output during release or compliance work.,Your SBOM workflow is already handled by another build step.,206,MIT,2025-05-30T19:40:06Z,false,true,2026-06-08,watch
GitHubSecurityLab/gh-mrva,mrva,Security/Admin,Run CodeQL queries at scale with multi-repository variant analysis.,gh extension install GitHubSecurityLab/gh-mrva,Security researchers analyzing many repositories.,You only scan one local repository.,66,MIT,2025-04-16T23:34:08Z,false,true,2026-06-08,watch
GitHubSecurityLab/gh-qldb,qldb,Security/Admin,Manage CodeQL databases from GitHub CLI.,gh extension install GitHubSecurityLab/gh-qldb,Security engineers working directly with CodeQL databases.,You do not use CodeQL database workflows.,49,NOASSERTION,2025-04-16T21:32:20Z,false,true,2026-06-08,watch
github/gh-codeql,codeql,Security/Admin,Work with CodeQL through GitHub CLI.,gh extension install github/gh-codeql,Security engineers running CodeQL workflows.,You do not use CodeQL.,39,MIT,2025-02-14T05:45:55Z,false,true,2026-06-08,watch
andyfeller/gh-ssh-allowed-signers,ssh-allowed-signers,Security/Admin,Generate SSH allowed signers files for SSH commit signing.,gh extension install andyfeller/gh-ssh-allowed-signers,Organizations standardizing SSH signature verification.,You do not use SSH signing.,30,NOASSERTION,2025-01-21T15:07:15Z,false,false,2026-06-08,watch
mislav/gh-repo-collab,repo-collab,Security/Admin,Manage repository collaborators from GitHub CLI.,gh extension install mislav/gh-repo-collab,Repository maintainers who manage collaborator access.,You need organization-wide permission management.,57,NOASSERTION,2023-07-10T15:44:57Z,false,false,2026-06-08,stale
